order_purchase_timestamp;price
2016-09-30;267.36
2016-10-31;49507.66
2016-11-30;0.0
2016-12-31;10.9
2017-01-31;120312.87
2017-02-28;247303.02
2017-03-31;374344.3
2017-04-30;359927.23
2017-05-31;506071.14
2017-06-30;433038.6
2017-07-31;498031.48
2017-08-31;573971.68
2017-09-30;624401.6900000001
2017-10-31;664219.43
2017-11-30;1010271.37
2017-12-31;743914.17
2018-01-31;950030.36
2018-02-28;844178.71
2018-03-31;983213.44
2018-04-30;996647.75
2018-05-31;996517.68
2018-06-30;865124.31
2018-07-31;895507.22
2018-08-31;854686.33
2018-09-30;145.0
